MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,
,,,,,,,
0.146377,0.979318,2.440176,-0.43245,0,,,
0.111322,0.758262,2.34452,-0.495665,0,,,
0.101762,0.726682,2.057554,-0.780131,0,,,95.086228
0.165498,1.010898,2.440176,-0.274413,0,,,
0.14319,0.758262,2.185094,-0.369235,0,,,
0.178245,0.695103,2.376406,-0.527272,0,,,
0.06352,0.853,2.312635,-0.369235,0,,,
0.098575,0.88458,2.34452,-0.43245,0,,,
0.079454,1.074057,2.408291,-0.242806,0,,,
0.101762,2.431975,3.492388,0.42095,0,,,
0.028465,0.979318,4.640255,-0.211198,0,,,
0.085828,4.232007,2.34452,-0.30602,0,,,
0.047586,1.042477,2.089439,-0.874954,0,,,
0.076267,1.295113,2.472061,-0.179591,0,,,
0.178245,1.074057,2.312635,-0.400843,0,,,
0.120883,1.010898,2.34452,-0.30602,0,,,
0.066707,1.168795,2.440176,-0.211198,0,,,
0.171871,0.442467,1.802472,-0.843346,0,,,
0.076267,0.853,2.408291,-0.464057,0,,,
0.190992,1.231954,2.185094,-0.716917,0,,,
0.095388,0.821421,2.34452,-0.527272,0,,,
0.101762,0.853,2.408291,-0.527272,0,,,
0.079454,1.074057,2.503946,-0.369235,0,,,
-0.038458,6.095197,1.770587,-0.938168,0,,,
0.162311,0.853,2.025668,-0.622094,0,,,
0.152751,0.821421,2.21698,-0.464057,0,,,
0.101762,1.200375,2.376406,-0.337628,0,,,
0.181432,1.610908,2.695258,0.136483,0,,,
0.092201,0.789841,2.057554,-0.622094,0,,,
0.053959,0.853,2.057554,-0.464057,0,,,
0.028465,1.389852,2.153209,-0.464057,0,,,
0.069894,0.916159,1.898128,-0.527272,0,,,
0.050773,0.853,2.025668,-0.527272,0,,,
0.041212,1.042477,2.21698,-0.337628,0,,,
0.092201,1.326693,3.524273,0.073268,0,,,
1.287255,1.231954,2.248865,-0.147983,0,,,
0.101762,1.074057,3.301076,0.515772,0,,,
0.114509,0.726682,2.34452,-0.622094,0,,,
0.114509,0.88458,2.248865,0.642202,0,,,
0.098575,0.789841,2.567717,-0.400843,0,,,
0.079454,0.821421,2.34452,-0.495665,0,,,
0.296157,2.874088,2.854684,-0.495665,0,,,
0.104948,0.695103,2.28075,-0.685309,0,,,
0.155937,0.88458,2.025668,-0.590487,0,,,
0.146377,0.979318,2.28075,0.041661,0,,,
0.13363,0.821421,2.089439,-0.55888,0,,,
0.082641,0.947739,2.28075,-0.400843,0,,,
0.130443,1.263534,2.663372,-0.053161,0,,,
0.085828,0.947739,2.21698,-0.400843,0,,,
0.025278,1.042477,1.770587,-0.527272,0,,,
0.082641,0.947739,2.025668,-0.464057,0,,,
0.130443,1.137216,0.782146,-1.064598,0,,,
0.022091,0.726682,1.866242,-0.590487,0,,,
0.057146,1.263534,2.440176,-0.242806,0,,,
0.089014,1.042477,2.248865,-0.464057,0,,,
0.124069,1.042477,2.248865,-0.242806,0,,,
0.190992,1.674067,3.045995,-0.30602,0,,,
0.07308,0.853,1.930013,-0.495665,0,,,
0.101762,0.88458,2.21698,-0.495665,0,,,
0.14319,1.421431,2.185094,-0.400843,0,,,
0.130443,1.263534,2.376406,-0.527272,0,,,
0.120883,0.947739,2.567717,-0.43245,0,,,
0.117696,0.88458,2.663372,-0.242806,0,,,
0.120883,1.010898,2.440176,-0.369235,0,,,
0.171871,0.88458,2.121324,-0.43245,0,,,
0.219674,6.821526,4.895336,-0.116376,0,,,
0.104948,0.916159,2.21698,-0.527272,0,,,
0.057146,0.979318,2.472061,2.507038,0,,,
0.079454,1.010898,2.185094,-0.43245,0,,,
-0.01615,0.663523,5.724352,-1.032991,0,,,
0.076267,0.821421,1.961898,0.073268,0,,,
0.038025,0.758262,1.961898,-0.527272,0,,,
0.082641,0.347728,1.770587,-0.653702,0,,,
0.066707,1.231954,2.408291,-0.211198,0,,,
0.101762,1.042477,2.312635,-0.43245,0,,,
0.124069,1.105636,2.503946,-0.242806,0,,,
0.127256,0.916159,2.185094,0.29452,0,,,
0.117696,0.758262,2.025668,-0.622094,0,,,
0.104948,0.758262,2.153209,-0.527272,0,,,
0.101762,0.979318,2.503946,-0.400843,0,,,
0.082641,0.853,2.408291,-0.464057,0,,,
0.108135,0.726682,2.21698,-0.211198,0,,,
0.114509,1.042477,2.440176,-0.369235,0,,,
0.089014,0.88458,2.408291,-0.43245,0,,,
0.146377,1.105636,2.440176,-0.274413,0,,,
0.124069,0.695103,2.248865,-0.464057,0,,,
0.098575,0.789841,2.089439,-0.55888,0,,,
0.200553,2.210919,3.588043,0.010054,0,,,
0.092201,0.916159,2.248865,-0.464057,0,,,
0.053959,1.010898,2.153209,-0.400843,0,,,
0.038025,0.789841,1.866242,-0.527272,0,,,
0.124069,0.347728,2.248865,0.168091,0,,,
-0.000216,0.726682,1.706816,-0.716917,0,,,
0.034839,1.200375,2.408291,-0.242806,0,,,
0.605278,1.358272,2.599602,0.041661,0,,,
0.187806,2.210919,4.257632,0.800239,0,,,
0.391761,3.537258,2.567717,0.136483,0,,,
0.14319,0.853,2.185094,-0.495665,0,,,
0.108135,0.789841,2.089439,-0.55888,0,,,
0.136817,0.758262,1.961898,-0.527272,0,,,
0.149564,1.137216,2.663372,-0.242806,0,,,
0.089014,0.663523,2.153209,-0.527272,0,,,
0.069894,0.726682,2.28075,-0.685309,0,,,
0.117696,0.979318,2.408291,-0.43245,0,,,
0.965387,1.200375,2.28075,-0.30602,0,,,
0.152751,0.947739,2.918454,-0.242806,0,,,
0.111322,1.010898,2.408291,-0.274413,0,,,
0.06352,0.853,2.248865,-0.464057,0,,,
0.095388,1.137216,2.472061,-0.211198,0,,,
0.124069,1.831965,6.170744,0.389342,0,,,
0.092201,1.610908,2.822798,-0.116376,0,,,
0.041212,1.042477,2.153209,-0.369235,0,,,
0.025278,0.853,2.025668,-0.495665,0,,,
0.069894,1.105636,2.312635,-0.30602,0,,,
0.07308,1.074057,2.312635,-0.337628,0,,,
0.108135,4.989915,2.567717,-0.116376,0,,,
0.178245,1.358272,3.683699,0.041661,0,,,
0.092201,0.916159,2.376406,-0.337628,0,,,
0.095388,1.295113,2.599602,-0.30602,0,,,
0.101762,0.853,2.025668,-0.906561,0,,,
0.108135,0.979318,2.34452,-0.464057,0,,,
0.127256,0.821421,1.961898,-0.464057,0,,,
0.124069,1.010898,2.472061,-0.274413,0,,,
0.120883,0.88458,2.28075,-0.464057,0,,,
0.14319,0.916159,2.025668,-0.464057,0,,,
0.152751,0.916159,2.28075,-0.400843,0,,,
0.104948,0.88458,2.089439,-0.337628,0,,,
0.018905,0.695103,1.866242,-0.685309,0,,,
0.184619,2.716191,4.193862,1.211135,0,,,
0.076267,0.947739,2.121324,-0.43245,0,,,
0.053959,0.821421,1.961898,-0.590487,0,,,
0.069894,0.821421,3.07788,-0.622094,0,,,
-0.048018,0.979318,2.21698,-0.337628,0,,,
0.210113,2.14776,2.057554,-0.748524,0,,,
0.079454,1.168795,2.631487,-0.211198,0,,,
0.226047,2.937247,3.970666,0.547379,0,,,
0.127256,1.042477,2.089439,-0.211198,0,,,
0.108135,0.88458,2.982224,-0.369235,0,,,
0.082641,2.210919,2.376406,-0.495665,0,,,
0.130443,0.916159,2.185094,-0.464057,0,,,
0.162311,0.726682,2.121324,-0.55888,0,,,
0.120883,1.737226,2.440176,-0.55888,0,,,
0.104948,1.042477,2.440176,-0.147983,0,,,
0.124069,0.916159,2.408291,-0.43245,0,,,
0.245168,2.179339,3.81124,0.642202,0,,,
0.175058,1.421431,3.556158,0.168091,0,,,
0.104948,1.010898,2.312635,-0.337628,0,,,
0.031652,0.726682,2.121324,0.262913,0,,,
0.07308,0.821421,2.153209,0.041661,0,,,
0.038025,0.758262,2.153209,5.857423,0,,,
