MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,,,
,,,,,,,,,
0.044399,1.610908,2.34452,-0.55888,0,,,,,
-0.000216,5.495187,1.961898,-0.811739,0,,,,,
-0.003403,1.168795,2.121324,1.179527,0,,,,,
-0.003403,1.421431,2.153209,-0.590487,0,,,,,93.09672
0.015718,1.958283,2.408291,-0.55888,0,,,,,
0.066707,1.642488,2.503946,-0.464057,0,,,,,
0.095388,3.158304,2.248865,-0.43245,0,,,,,
0.098575,1.389852,2.376406,-0.590487,0,,,,,
0.114509,1.453011,2.440176,-0.590487,0,,,,,
0.098575,1.200375,2.248865,-0.685309,0,,,,,
0.098575,1.231954,1.866242,-0.874954,0,,,,,
-0.102194,1.105636,2.440176,-0.55888,0,,,,,
0.124069,1.295113,1.706816,-0.843346,0,,,,,
0.069894,1.295113,3.205421,-0.780131,0,,,,,
0.108135,1.768806,6.170744,1.906498,0,,,,,
0.117696,0.853,2.408291,3.929371,0,,,,,
0.079454,1.263534,2.312635,-0.685309,0,,,,,
0.101762,1.421431,2.312635,-0.590487,0,,,,,
0.069894,1.421431,2.057554,-0.55888,0,,,,,
0.296157,1.51617,2.567717,-0.369235,0,,,,,
0.038025,1.231954,2.089439,-0.053161,0,,,,,
0.069894,1.421431,2.982224,-0.55888,0,,,,,
0.028465,1.358272,2.121324,-0.780131,0,,,,,
0.018905,1.231954,1.961898,-0.748524,0,,,,,
-0.025711,1.642488,2.472061,-0.400843,0,,,,,
0.06352,1.48459,2.503946,-0.464057,0,,,,,
0.095388,1.453011,2.376406,-0.495665,0,,,,,
0.104948,1.51617,2.503946,-0.464057,0,,,,,
0.120883,1.231954,2.248865,-0.685309,0,,,,,
0.117696,1.421431,2.440176,-0.843346,0,,,,,
0.219674,2.021442,1.898128,-1.696746,0,,,,,
0.095388,1.295113,2.440176,-1.254242,0,,,,,
0.101762,1.579329,2.503946,-0.685309,0,,,,,
0.066707,1.295113,2.312635,-0.685309,0,,,,,
0.076267,1.263534,2.408291,-0.716917,0,,,,,
0.114509,1.231954,2.248865,-0.653702,0,,,,,
0.07308,2.937247,2.025668,-0.969776,0,,,,,
0.101762,1.421431,2.312635,-0.527272,0,,,,,
0.095388,1.358272,2.376406,0.42095,0,,,,,
0.06352,1.326693,2.153209,-0.685309,0,,,,,
0.044399,1.326693,2.121324,-0.685309,0,,,,,
0.034839,1.705647,1.961898,-0.716917,0,,,,,
0.047586,1.579329,2.185094,-0.495665,0,,,,,
0.009344,1.231954,1.961898,-0.748524,0,,,,,
0.028465,1.610908,2.440176,-0.43245,0,,,,,
0.057146,1.610908,2.535832,-0.400843,0,,,,,
0.098575,1.295113,2.503946,-0.369235,0,,,,,
0.111322,1.48459,2.472061,-0.590487,0,,,,,
0.130443,1.263534,2.312635,-0.653702,0,,,,,
0.108135,1.263534,2.21698,-0.748524,0,,,,,
0.124069,1.51617,2.34452,-0.843346,0,,,,,
0.092201,1.358272,2.312635,-0.622094,0,,,,,
0.092201,1.168795,2.34452,-0.780131,0,,,,,
0.079454,1.137216,2.408291,-0.622094,0,,,,,
-0.022524,0.758262,5.883778,-1.380672,0,,,,,
0.140003,1.389852,2.312635,-0.590487,0,,,,,
0.092201,1.389852,2.248865,-0.748524,0,,,,,
0.101762,1.358272,2.472061,-0.653702,0,,,,,
0.069894,1.200375,2.248865,-0.716917,0,,,,,
0.069894,1.674067,2.759028,-0.30602,0,,,,,
0.069894,2.337237,2.153209,-0.30602,0,,,,,
0.041212,1.200375,2.472061,-0.843346,0,,,,,
0.006157,1.389852,2.089439,-0.685309,0,,,,,
0.22286,3.347781,2.057554,-0.622094,0,,,,,
0.050773,1.674067,2.472061,-0.43245,0,,,,,
0.079454,1.674067,2.759028,2.096142,0,,,,,
0.130443,1.642488,2.440176,-0.43245,0,,,,,
0.114509,1.674067,2.822798,-0.274413,0,,,,,
0.108135,1.263534,2.121324,0.357735,0,,,,,
0.104948,1.200375,2.21698,-0.780131,0,,,,,
0.098575,1.263534,2.312635,-0.716917,0,,,,,
0.095388,1.389852,1.834357,-0.685309,0,,,,,
0.092201,5.116233,2.599602,-0.780131,0,,,,,
0.053959,1.295113,2.28075,-0.874954,0,,,,,
0.089014,1.358272,2.503946,-0.590487,0,,,,,
0.108135,1.231954,2.248865,-0.685309,0,,,,,
0.111322,1.263534,2.21698,-0.685309,0,,,,,
