MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,
,,,,,,
0.092201,0.88458,2.21698,0.168091,0,,
0.162311,0.979318,1.993783,-0.748524,0,,
0.050773,0.88458,2.121324,-0.211198,0,,
0.060333,0.821421,2.121324,-0.211198,0,,
0.025278,0.789841,1.993783,-0.211198,0,,82.549167
0.041212,0.916159,2.376406,-0.30602,0,,
0.009344,1.105636,2.089439,-0.053161,0,,
0.050773,1.200375,2.440176,0.136483,0,,
0.101762,1.074057,2.312635,0.010054,0,,
0.082641,1.042477,2.34452,0.041661,0,,
0.082641,0.88458,2.185094,-0.084769,0,,
0.13363,0.537205,2.312635,0.326128,0,,
0.069894,0.505626,2.185094,0.895061,0,,
0.13363,2.021442,2.153209,-0.242806,0,,
0.089014,0.789841,2.34452,-0.179591,0,,
0.085828,0.789841,2.376406,-0.084769,0,,
0.197366,-0.789134,2.248865,4.593127,0,,
0.111322,0.947739,2.153209,-0.084769,0,,
0.206926,-0.41018,6.011318,-0.084769,0,,
0.114509,0.853,2.121324,-0.147983,0,,
0.069894,0.853,2.121324,-0.274413,0,,
0.095388,0.88458,1.930013,-0.211198,0,,
0.07308,0.821421,2.121324,-0.211198,0,,
0.034839,0.853,2.121324,-0.30602,0,,
0.034839,0.916159,2.057554,-0.242806,0,,
0.034839,0.821421,1.54739,-0.337628,0,,
0.050773,1.105636,2.34452,0.010054,0,,
0.053959,1.105636,2.34452,0.041661,0,,
0.095388,1.010898,2.376406,0.452557,0,,
0.111322,1.074057,2.34452,0.104876,0,,
0.095388,0.789841,2.089439,-0.116376,0,,
0.082641,0.789841,2.185094,-0.147983,0,,
0.111322,0.631944,2.153209,-0.242806,0,,
0.117696,0.88458,2.34452,-0.242806,0,,
0.101762,0.663523,2.089439,0.642202,0,,
0.082641,0.726682,2.248865,-0.116376,0,,
0.101762,0.789841,2.185094,-0.400843,0,,
0.092201,3.221463,2.248865,-0.179591,0,,
0.101762,0.789841,2.185094,-0.147983,0,,
0.117696,0.88458,2.185094,-0.211198,0,,
0.060333,0.758262,2.185094,-0.242806,0,,
0.06352,0.821421,2.089439,-0.211198,0,,
0.066707,0.821421,1.706816,0.104876,0,,
0.041212,0.821421,2.153209,-0.211198,0,,
0.041212,0.88458,2.025668,-0.242806,0,,
0.044399,0.758262,3.651814,-0.053161,0,,
0.044399,1.358272,2.472061,-0.084769,0,,
0.07308,1.074057,2.376406,0.895061,0,,
0.069894,1.010898,2.408291,0.073268,0,,
0.069894,1.074057,2.312635,0.073268,0,,
0.108135,1.074057,2.248865,2.570253,0,,
0.082641,0.789841,2.248865,-0.179591,0,,
0.066707,0.758262,2.089439,-0.242806,0,,
0.079454,0.758262,2.312635,-0.179591,0,,
0.098575,0.758262,2.408291,-0.242806,0,,
0.312091,1.863544,2.21698,-0.906561,0,,
0.092201,0.88458,2.34452,-0.084769,0,,
0.117696,0.88458,2.248865,-0.147983,0,,
0.092201,0.789841,2.248865,-0.179591,0,,
0.104948,0.853,2.153209,-0.179591,0,,
0.079454,0.853,2.185094,-0.211198,0,,
0.076267,0.88458,2.153209,-0.242806,0,,
0.069894,0.789841,2.089439,-0.211198,0,,
0.085828,2.084601,2.153209,-0.147983,0,,
0.117696,1.042477,2.248865,0.010054,0,,
0.025278,0.821421,2.057554,-0.211198,0,,
0.034839,1.137216,2.376406,0.073268,0,,
0.124069,5.810982,2.759028,-0.969776,0,,
0.098575,1.074057,2.34452,0.041661,0,,
0.069894,0.600364,4.193862,0.010054,0,,
0.082641,0.789841,3.588043,-0.021554,0,,
0.076267,0.853,2.121324,-0.116376,0,,
0.111322,0.789841,2.248865,-0.147983,0,,
0.108135,1.010898,2.057554,-0.242806,0,,
0.117696,0.947739,2.185094,-0.179591,0,,
0.092201,0.758262,1.993783,-0.242806,0,,
0.082641,0.88458,2.376406,-0.147983,0,,
0.130443,0.789841,3.428617,-0.211198,0,,
0.149564,0.916159,1.611161,-0.242806,0,,
0.098575,0.88458,2.153209,-0.242806,0,,
0.104948,0.853,2.21698,-0.274413,0,,
0.117696,0.916159,2.312635,0.768631,0,,
0.079454,0.821421,2.089439,-0.242806,0,,
0.07308,0.821421,2.089439,-0.211198,0,,
0.057146,4.074109,1.961898,1.305957,0,,
0.044399,0.916159,2.089439,-0.179591,0,,
0.076267,1.231954,2.376406,-0.021554,0,,
0.082641,1.105636,2.503946,0.073268,0,,
0.101762,1.074057,2.248865,0.041661,0,,
0.098575,1.042477,2.34452,0.073268,0,,
0.069894,0.789841,2.089439,-0.30602,0,,
0.082641,0.853,3.588043,-0.084769,0,,
0.111322,1.705647,2.057554,-0.084769,0,,
0.092201,0.947739,2.248865,0.578987,0,,
0.120883,0.789841,2.312635,-0.211198,0,,
0.089014,0.821421,2.057554,-0.55888,0,,
0.082641,0.916159,5.054762,0.073268,0,,
0.136817,0.853,2.153209,-0.116376,0,,
0.124069,0.789841,2.185094,-0.179591,0,,
0.101762,0.537205,2.025668,-0.242806,0,,
0.076267,0.789841,2.185094,-0.242806,0,,
0.060333,0.695103,2.153209,2.759897,0,,
0.089014,0.853,2.089439,-0.179591,0,,
0.082641,0.88458,2.121324,-0.274413,0,,
0.35352,3.853053,2.886569,0.199698,0,,
0.041212,0.853,2.248865,-0.211198,0,,
0.025278,1.074057,2.248865,-0.053161,0,,
0.060333,1.168795,2.440176,-0.021554,0,,
0.079454,0.979318,2.34452,0.041661,0,,
0.111322,0.947739,2.376406,0.073268,0,,
0.082641,0.821421,2.21698,-0.084769,0,,
0.197366,1.642488,1.770587,-0.55888,0,,
-0.003403,0.853,2.21698,-0.179591,0,,
0.101762,0.821421,2.312635,-0.179591,0,,
0.104948,0.695103,2.312635,-0.179591,0,,
0.060333,0.821421,2.21698,-0.337628,0,,
0.069894,0.853,2.695258,-0.116376,0,,
0.120883,0.789841,2.121324,-0.147983,0,,
0.079454,2.242498,2.057554,-0.274413,0,,
0.092201,0.789841,2.185094,-0.211198,0,,
0.104948,1.547749,2.21698,-0.147983,0,,
0.092201,0.821421,2.121324,0.515772,0,,
0.066707,0.789841,2.089439,-0.147983,0,,
0.079454,0.821421,2.153209,-0.242806,0,,
0.20374,3.221463,2.759028,1.811675,0,,
0.057146,0.979318,2.089439,-0.211198,0,,
0.041212,1.137216,2.312635,-0.053161,0,,
0.082641,1.074057,2.248865,0.073268,0,,
0.37264,3.126724,2.440176,0.389342,0,,
0.117696,1.010898,2.28075,0.041661,0,,
0.187806,0.979318,2.057554,-0.147983,0,,
0.130443,0.853,2.089439,-0.179591,0,,
0.117696,0.916159,2.248865,-0.179591,0,,
0.082641,0.758262,2.21698,-0.084769,0,,
0.108135,0.726682,2.376406,-0.179591,0,,
0.108135,0.568785,2.440176,-0.211198,0,,
0.098575,0.821421,2.440176,-0.116376,0,,
0.14319,0.853,2.121324,-0.147983,0,,
0.149564,0.821421,2.248865,-0.179591,0,,
0.114509,0.789841,2.185094,-0.211198,0,,
0.108135,0.947739,4.417058,-0.527272,0,,
0.085828,0.88458,1.674931,-0.716917,0,,
0.047586,0.789841,2.057554,-0.242806,0,,
-0.083073,5.9373,1.898128,-1.254242,0,,
0.006157,0.663523,2.089439,2.380609,0,,
0.028465,0.821421,2.025668,-0.274413,0,,
0.305717,3.37936,2.440176,0.452557,0,,
0.104948,1.168795,2.408291,-0.084769,0,,
0.092201,1.042477,2.376406,0.010054,0,,
0.108135,2.621452,2.34452,-0.053161,0,,
0.07308,0.789841,2.153209,-0.147983,0,,
0.410882,0.726682,2.34452,-0.147983,0,,
0.095388,0.789841,2.312635,0.926668,0,,
0.082641,0.88458,2.185094,-0.242806,0,,
0.085828,0.663523,2.567717,-0.30602,0,,
0.101762,0.789841,2.28075,-0.242806,0,,
0.098575,0.789841,2.376406,-0.084769,0,,
0.155937,0.88458,2.185094,-0.147983,0,,
0.124069,0.821421,2.248865,-0.179591,0,,
0.117696,0.789841,2.121324,-0.274413,0,,
0.101762,0.821421,2.153209,-0.242806,0,,
0.146377,0.947739,2.089439,-0.748524,0,,
0.079454,0.821421,2.121324,-0.211198,0,,
0.152751,0.600364,2.34452,0.452557,0,,
0.053959,0.88458,1.993783,-0.337628,0,,
0.044399,0.88458,2.089439,-0.274413,0,,
0.053959,1.137216,2.089439,0.010054,0,,
0.076267,0.947739,2.248865,0.041661,0,,
0.108135,1.010898,2.21698,0.010054,0,,
0.111322,1.137216,2.376406,-0.021554,0,,
0.114509,0.821421,2.121324,-0.147983,0,,
0.038025,0.568785,3.906895,0.29452,0,,
0.108135,0.789841,2.376406,0.010054,0,,
0.095388,0.789841,2.153209,-0.369235,0,,
0.092201,0.568785,2.153209,-0.30602,0,,
0.098575,0.758262,2.153209,-0.274413,0,,
0.111322,0.916159,2.472061,-0.179591,0,,
0.127256,0.821421,2.21698,-0.147983,0,,
0.101762,0.726682,2.153209,0.42095,0,,
0.098575,0.789841,2.185094,-0.211198,0,,
0.079454,0.853,2.248865,-0.242806,0,,
0.092201,0.821421,2.153209,-0.242806,0,,
0.07308,0.88458,2.121324,-0.369235,0,,
0.098575,0.853,2.089439,-0.211198,0,,
0.047586,0.88458,1.993783,-0.242806,0,,
0.050773,0.853,2.089439,-0.527272,0,,
0.028465,1.105636,2.312635,0.041661,0,,
0.124069,1.926703,2.440176,0.073268,0,,
0.104948,1.074057,2.34452,0.041661,0,,
0.101762,2.210919,2.248865,0.041661,0,,
0.101762,0.789841,2.153209,-0.147983,0,,
