MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,
,,,,,,
0.130443,1.326693,2.34452,0.136483,0,,
0.124069,1.295113,2.312635,-0.021554,0,,
0.130443,1.137216,2.21698,-0.021554,0,,105.286407
0.104948,1.010898,2.185094,-0.116376,0,,
0.089014,0.853,2.28075,-0.242806,0,,
0.114509,1.074057,2.28075,-0.179591,0,,
0.130443,0.853,2.153209,-0.242806,0,,
0.104948,0.947739,2.312635,-0.179591,0,,
0.092201,1.042477,2.759028,-0.179591,0,,
0.200553,1.137216,2.21698,0.041661,0,,
0.155937,1.010898,2.312635,0.452557,0,,
0.127256,1.010898,2.21698,-0.242806,0,,
0.104948,0.979318,2.21698,-0.211198,0,,
0.060333,1.200375,2.185094,-0.211198,0,,
0.095388,0.979318,2.089439,-0.211198,0,,
0.069894,0.947739,2.21698,-0.179591,0,,
0.079454,1.074057,2.121324,-0.716917,0,,
0.018905,1.042477,2.185094,-0.147983,0,,
0.044399,1.674067,2.185094,-0.084769,0,,
0.076267,1.389852,2.472061,0.073268,0,,
0.098575,1.231954,2.376406,0.073268,0,,
0.114509,1.200375,2.408291,0.073268,0,,
0.449124,2.905668,3.492388,1.653638,0,,
0.117696,1.042477,2.21698,-0.116376,0,,
0.124069,0.88458,1.802472,-0.337628,0,,
0.079454,0.979318,1.993783,-0.179591,0,,
0.130443,0.979318,2.376406,-0.053161,0,,
0.114509,1.074057,1.802472,-0.495665,0,,
0.120883,0.947739,2.312635,-0.147983,0,,
0.114509,1.042477,2.153209,-0.084769,0,,
0.114509,0.88458,2.185094,-0.211198,0,,
0.13363,1.105636,2.248865,-0.116376,0,,
0.076267,0.916159,2.121324,-0.179591,0,,
0.066707,0.88458,2.089439,-0.242806,0,,
0.092201,0.979318,2.121324,-0.242806,0,,
0.07308,1.010898,2.089439,-0.179591,0,,
0.066707,0.947739,2.089439,-0.242806,0,,
0.031652,0.947739,2.025668,0.041661,0,,
0.404509,2.084601,4.066321,2.791505,0,,
0.047586,1.263534,2.440176,0.136483,0,,
0.079454,1.263534,2.440176,0.104876,0,,
0.101762,1.231954,2.28075,0.041661,0,,
0.152751,1.137216,2.312635,-0.053161,0,,
0.108135,0.979318,2.121324,-0.464057,0,,
0.101762,0.695103,2.121324,-0.211198,0,,
0.120883,1.042477,2.34452,-0.084769,0,,
0.104948,0.979318,2.376406,-0.242806,0,,
0.117696,0.916159,2.312635,-0.30602,0,,
0.117696,1.010898,2.312635,-0.211198,0,,
0.146377,1.010898,2.248865,-0.084769,0,,
0.14319,0.88458,2.185094,-0.147983,0,,
0.117696,0.979318,2.248865,-0.116376,0,,
0.165498,7.547854,2.440176,0.073268,0,,
0.117696,1.010898,2.248865,-0.116376,0,,
0.082641,0.947739,2.121324,-0.30602,0,,
0.076267,0.947739,2.089439,-0.179591,0,,
0.815607,1.231954,2.121324,-0.274413,0,,
0.050773,0.916159,2.025668,-0.147983,0,,
0.044399,1.010898,3.556158,-0.021554,0,,
0.060333,1.263534,2.472061,0.262913,0,,
0.047586,1.295113,4.193862,0.231305,0,,
0.120883,1.137216,2.248865,0.104876,0,,
0.140003,1.231954,2.248865,0.989883,0,,
0.124069,3.726735,2.472061,0.010054,0,,
0.092201,0.947739,2.248865,-0.211198,0,,
0.152751,5.874141,3.109765,-0.179591,0,,
-0.028898,0.600364,1.898128,3.170794,0,,
0.130443,0.947739,2.376406,-0.369235,0,,
0.124069,0.916159,3.843125,-0.179591,0,,
0.130443,0.947739,4.321403,1.179527,0,,
0.127256,0.916159,2.185094,-0.179591,0,,
0.117696,0.979318,2.21698,-0.211198,0,,
0.13363,0.947739,1.643046,-0.211198,0,,
0.092201,1.105636,2.153209,-0.211198,0,,
0.060333,0.88458,1.674931,-0.274413,0,,
0.079454,0.979318,2.153209,-0.179591,0,,
0.047586,0.947739,1.993783,-0.147983,0,,
0.06352,0.947739,1.961898,-0.211198,0,,
0.031652,0.979318,2.089439,-0.242806,0,,
0.060333,1.358272,2.472061,0.168091,0,,
0.101762,1.295113,2.408291,0.104876,0,,
0.124069,1.074057,2.34452,0.041661,0,,
0.092201,1.010898,2.248865,0.168091,0,,
0.108135,0.947739,2.153209,-0.179591,0,,
0.114509,1.010898,2.312635,-0.084769,0,,
0.120883,0.88458,2.248865,-0.084769,0,,
0.098575,0.88458,2.185094,-0.211198,0,,
0.114509,0.947739,2.21698,-0.337628,0,,
0.136817,1.074057,2.248865,-0.337628,0,,
0.14319,5.27413,2.854684,0.010054,0,,
0.120883,4.768858,2.185094,-0.147983,0,,
0.101762,0.88458,2.28075,-0.211198,0,,
0.104948,0.979318,2.121324,-0.179591,0,,
0.082641,0.947739,2.153209,-0.147983,0,,
0.089014,2.305657,2.121324,-0.147983,0,,
0.066707,0.979318,2.089439,-0.179591,0,,
0.041212,0.916159,2.121324,-0.242806,0,,
0.028465,1.168795,5.53304,0.262913,0,,
0.047586,0.979318,2.057554,-0.147983,0,,
0.047586,2.937247,2.472061,0.104876,0,,
0.079454,1.263534,2.440176,0.231305,0,,
0.085828,1.137216,2.34452,0.073268,0,,
0.095388,1.137216,2.21698,-0.021554,0,,
0.095388,0.947739,2.185094,-0.242806,0,,
0.117696,1.010898,2.121324,-0.179591,0,,
0.098575,1.010898,2.21698,-0.147983,0,,
0.124069,0.916159,2.312635,-0.211198,0,,
0.127256,0.88458,2.248865,-0.906561,0,,
0.092201,0.916159,2.153209,-0.30602,0,,
0.104948,1.105636,2.312635,-0.116376,0,,
0.130443,1.674067,2.21698,-0.084769,0,,
0.140003,0.947739,2.248865,-0.147983,0,,
0.155937,1.042477,2.185094,-0.116376,0,,
0.066707,0.916159,2.248865,-0.179591,0,,
0.060333,1.105636,2.089439,-0.274413,0,,
0.06352,1.010898,2.248865,-0.211198,0,,
0.07308,1.042477,2.121324,-0.211198,0,,
0.069894,1.010898,2.025668,-0.147983,0,,
0.041212,1.200375,3.460502,-0.021554,0,,
0.095388,1.326693,2.408291,2.791505,0,,
0.082641,1.231954,3.556158,0.041661,0,,
0.101762,1.200375,2.312635,-0.464057,0,,
0.117696,1.200375,2.408291,0.073268,0,,
0.120883,1.042477,2.185094,-0.116376,0,,
0.140003,1.105636,1.866242,-0.179591,0,,
-0.079887,0.031933,4.67214,6.900467,0,,
0.089014,0.979318,2.21698,-0.053161,0,,
0.108135,1.074057,2.440176,0.010054,0,,
0.089014,0.947739,2.312635,-0.274413,0,,
0.506487,4.64254,3.301076,0.357735,0,,
0.124069,1.010898,4.225747,0.231305,0,,
0.165498,1.010898,2.121324,-0.274413,0,,
0.130443,1.042477,2.153209,-0.179591,0,,
0.095388,1.042477,2.21698,-0.116376,0,,
0.082641,1.010898,2.28075,-0.211198,0,,
0.359893,1.610908,3.779354,1.780068,0,,
0.044399,0.947739,2.089439,-0.179591,0,,
0.034839,1.105636,2.057554,-0.179591,0,,
0.044399,0.947739,1.930013,-0.242806,0,,
0.06352,1.295113,2.34452,0.041661,0,,
0.13363,1.421431,2.472061,0.073268,0,,
0.095388,1.168795,2.28075,0.104876,0,,
0.101762,1.137216,2.312635,-0.021554,0,,
0.111322,1.105636,2.21698,-0.084769,0,,
0.14319,0.979318,2.248865,-0.021554,0,,
0.101762,0.947739,2.121324,-0.30602,0,,
0.104948,1.137216,1.930013,-0.242806,0,,
0.038025,0.821421,2.28075,-0.147983,0,,
0.098575,1.042477,2.312635,-0.211198,0,,
0.092201,1.010898,2.34452,-0.116376,0,,
0.13363,0.947739,2.153209,-0.116376,0,,
0.136817,0.947739,2.21698,-0.147983,0,,
0.124069,1.010898,1.866242,-0.021554,0,,
0.092201,0.979318,2.153209,-0.179591,0,,
-0.060766,7.011003,1.228538,-1.665139,0,,
0.085828,1.263534,2.121324,-0.116376,0,,
0.06352,1.042477,2.025668,-0.211198,0,,
-0.067139,0.947739,2.089439,-0.211198,0,,
0.031652,1.010898,2.057554,-0.211198,0,,
0.066707,1.326693,2.248865,0.041661,0,,
0.108135,1.358272,2.472061,0.104876,0,,
0.092201,1.168795,2.28075,0.041661,0,,
0.124069,1.168795,2.34452,0.041661,0,,
0.114509,0.947739,2.21698,-0.053161,0,,
0.095388,1.010898,2.21698,0.484165,0,,
0.117696,1.010898,2.153209,-0.116376,0,,
0.089014,0.947739,2.535832,0.010054,0,,
0.098575,0.821421,2.21698,-0.179591,0,,
0.095388,5.968879,2.121324,-0.43245,0,,
0.082641,1.010898,2.312635,-0.116376,0,,
0.069894,0.88458,4.321403,-0.369235,0,,
0.104948,0.947739,2.248865,-0.147983,0,,
0.104948,0.947739,2.440176,-0.179591,0,,
0.082641,1.010898,2.153209,-0.211198,0,,
0.057146,0.979318,2.089439,-0.211198,0,,
0.041212,0.979318,2.089439,-0.179591,0,,
0.069894,0.979318,2.089439,-0.211198,0,,
0.050773,0.88458,2.121324,-0.179591,0,,
0.028465,0.916159,1.993783,2.190964,0,,
0.034839,1.263534,2.34452,-0.021554,0,,
0.082641,1.295113,2.567717,0.073268,0,,
0.114509,1.231954,2.34452,0.010054,0,,
0.098575,1.042477,2.185094,1.211135,0,,
0.104948,1.042477,2.312635,-0.084769,0,,
0.117696,1.042477,2.185094,-0.179591,0,,
0.114509,0.947739,2.248865,-0.179591,0,,
0.079454,0.88458,2.248865,-0.211198,0,,
0.098575,0.88458,2.34452,-0.337628,0,,
0.095388,0.853,2.21698,-0.400843,0,,
0.098575,1.010898,2.408291,-0.053161,0,,
0.098575,1.137216,3.87501,3.202401,0,,
0.146377,0.947739,2.025668,-0.211198,0,,
0.108135,1.989862,3.364847,-0.084769,0,,
0.120883,1.010898,2.185094,-0.147983,0,,
0.060333,0.947739,2.21698,-0.084769,0,,
0.069894,0.568785,2.121324,-0.053161,0,,
0.092201,0.947739,2.089439,-0.147983,0,,
0.025278,0.916159,2.121324,-0.274413,0,,
0.028465,0.88458,2.089439,0.895061,0,,
0.034839,1.168795,2.21698,0.010054,0,,
0.057146,1.263534,2.472061,0.041661,0,,
0.104948,1.200375,2.599602,0.041661,0,,
0.127256,1.231954,0.558949,0.073268,0,,
0.060333,0.947739,4.193862,0.010054,0,,
0.095388,0.947739,2.121324,-0.147983,0,,
0.104948,0.947739,2.34452,-0.179591,0,,
0.120883,1.042477,2.408291,-0.716917,0,,
0.14319,0.979318,2.28075,-0.147983,0,,
0.124069,0.916159,3.173536,-0.369235,0,,
0.117696,1.042477,2.34452,-0.179591,0,,
0.130443,1.010898,2.185094,-0.053161,0,,
0.053959,0.979318,5.373614,-0.906561,0,,
0.095388,0.410887,2.21698,-0.179591,0,,
0.095388,0.88458,2.185094,-0.147983,0,,
0.098575,6.000459,2.21698,-0.147983,0,,
0.082641,0.947739,2.089439,-0.211198,0,,
0.07308,1.010898,2.089439,-0.179591,0,,
0.06352,1.042477,2.089439,-0.179591,0,,
0.047586,1.010898,2.025668,-0.179591,0,,
0.069894,1.137216,2.34452,-0.084769,0,,
0.07308,1.295113,2.440176,-0.021554,0,,
0.069894,1.168795,3.747469,0.041661,0,,
0.092201,1.137216,2.472061,1.053098,0,,
0.136817,1.074057,2.248865,0.010054,0,,
0.146377,1.074057,2.759028,-0.179591,0,,
0.104948,0.853,2.153209,-0.211198,0,,
0.101762,1.042477,2.248865,-0.053161,0,,
0.114509,0.979318,2.248865,-0.30602,0,,
0.120883,0.88458,2.248865,-0.116376,0,,
0.120883,0.947739,2.472061,-0.242806,0,,
0.127256,3.726735,2.185094,-0.147983,0,,
0.124069,0.916159,2.312635,-0.179591,0,,
0.114509,0.947739,2.248865,-0.084769,0,,
0.117696,0.947739,2.21698,-0.116376,0,,
0.098575,1.105636,4.640255,-0.242806,0,,
0.098575,0.947739,2.121324,-0.147983,0,,
0.079454,0.979318,2.153209,-0.147983,0,,
0.060333,0.88458,2.025668,0.231305,0,,
0.034839,1.200375,2.057554,-0.179591,0,,
0.038025,1.137216,2.185094,-0.084769,0,,
0.034839,1.295113,2.376406,0.073268,0,,
0.114509,1.389852,2.21698,0.010054,0,,
0.124069,1.168795,2.34452,0.041661,0,,
0.092201,1.042477,2.21698,-0.053161,0,,
0.082641,0.726682,2.057554,-0.116376,0,,
0.130443,0.88458,0.271982,-0.242806,0,,
-0.035271,0.189831,2.28075,3.550082,0,,
0.108135,0.600364,2.21698,-0.179591,0,,
0.082641,1.042477,1.930013,-0.242806,0,,
0.108135,1.042477,2.408291,-0.179591,0,,
0.149564,0.88458,2.21698,-0.021554,0,,
0.468245,5.810982,2.121324,-1.759961,0,,
0.104948,0.916159,2.185094,-0.179591,0,,
0.101762,0.821421,2.153209,-0.147983,0,,
0.098575,0.947739,2.34452,-0.053161,0,,
0.082641,0.979318,2.121324,-0.116376,0,,
0.089014,1.010898,2.121324,-0.211198,0,,
0.038025,1.48459,4.002551,-0.179591,0,,
0.057146,0.947739,1.802472,-0.179591,0,,
0.053959,0.979318,2.121324,3.392045,0,,
0.047586,1.200375,2.503946,0.041661,0,,
0.095388,1.326693,2.408291,0.136483,0,,
0.095388,1.105636,2.34452,0.010054,0,,
0.127256,1.168795,2.34452,0.041661,0,,
0.117696,1.042477,2.153209,2.412216,0,,
0.095388,0.853,2.057554,-0.147983,0,,
0.104948,0.916159,2.822798,-0.147983,0,,
0.13363,0.979318,2.472061,-0.147983,0,,
0.130443,0.979318,2.312635,-0.30602,0,,
0.07308,0.758262,2.153209,-0.179591,0,,
0.251542,-0.252282,6.20263,0.610594,0,,
0.14319,1.010898,2.248865,-0.147983,0,,
0.095388,0.88458,2.185094,-0.179591,0,,
0.07308,0.916159,2.21698,-0.179591,0,,
0.095388,0.947739,2.21698,-0.179591,0,,
0.101762,1.010898,2.248865,-0.179591,0,,
0.057146,0.916159,2.089439,-0.211198,0,,
0.053959,0.916159,2.057554,-0.179591,0,,
0.104948,-0.504918,5.564926,-1.222635,0,,
-0.009777,0.916159,2.089439,-0.116376,0,,
0.053959,1.295113,2.503946,0.104876,0,,
0.092201,2.210919,2.472061,0.199698,0,,
0.101762,1.074057,2.312635,0.010054,0,,
0.108135,1.263534,2.312635,0.041661,0,,
0.114509,0.916159,2.121324,-0.242806,0,,
0.089014,0.821421,2.185094,-0.179591,0,,
0.101762,1.010898,2.185094,-0.179591,0,,
0.130443,0.947739,1.770587,-0.242806,0,,
0.117696,0.88458,2.34452,-0.242806,0,,
0.095388,1.989862,2.376406,-0.464057,0,,
0.104948,1.010898,2.312635,-0.053161,0,,
0.149564,0.916159,2.185094,-0.116376,0,,
0.155937,1.800385,2.567717,2.85472,0,,
0.111322,0.979318,2.21698,-0.147983,0,,
