MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,,,
,,,,,,,,,
0.025278,0.031933,2.121324,-0.242806,0,,,,,
0.034839,0.568785,2.21698,0.010054,0,,,,,
0.092201,0.379308,2.34452,-0.369235,0,,,,,225.635881
0.092201,0.284569,2.408291,0.010054,0,,,,,
0.095388,0.25299,2.376406,0.010054,0,,,,,
0.079454,-0.031226,3.14165,-0.116376,0,,,,,
0.104948,0.063513,2.248865,-0.053161,0,,,,,
0.104948,0.126672,2.408291,-0.274413,0,,,,,
-0.012964,-0.220703,2.185094,-0.369235,0,,,,,
0.057146,-0.189123,1.54739,2.917934,0,,,,,
0.108135,-0.157544,2.886569,-0.242806,0,,,,,
0.127256,0.25299,2.440176,-0.053161,0,,,,,
0.124069,0.063513,2.21698,-0.464057,0,,,,,
0.124069,2.400396,2.28075,-0.053161,0,,,,,
0.085828,-0.031226,2.153209,1.938105,0,,,,,
0.082641,0.031933,2.153209,-0.242806,0,,,,,
0.076267,0.031933,2.121324,-0.211198,0,,,,,
0.053959,0.095092,2.121324,-0.274413,0,,,,,
0.041212,0.979318,2.408291,0.610594,0,,,,,
0.015718,0.063513,1.993783,-0.30602,0,,,,,
0.079454,0.25299,1.005342,-0.748524,0,,,,,
0.060333,-0.031226,2.472061,0.073268,0,,,,,
0.041212,0.284569,2.472061,0.29452,0,,,,,
0.108135,0.568785,2.312635,0.073268,0,,,,,
0.155937,0.568785,0.75026,0.262913,0,,,,,
0.13363,0.063513,2.153209,-0.147983,0,,,,,
0.140003,0.158251,2.312635,-0.147983,0,,,,,
0.117696,0.095092,2.440176,-0.211198,0,,,,,
0.146377,-0.315441,2.248865,0.673809,0,,,,,
0.098575,0.000354,2.248865,-0.30602,0,,,,,
0.092201,0.22141,2.312635,-0.147983,0,,,,,
0.079454,0.063513,2.28075,-0.179591,0,,,,,
0.120883,0.063513,2.21698,-0.211198,0,,,,,
0.124069,0.063513,2.185094,0.041661,0,,,,,
0.076267,0.189831,2.121324,-0.021554,0,,,,,
0.082641,0.095092,2.185094,-0.147983,0,,,,,
0.069894,0.063513,2.153209,-0.211198,0,,,,,
0.041212,0.031933,2.089439,-0.242806,0,,,,,
0.047586,0.095092,3.683699,-0.179591,0,,,,,
0.034839,0.095092,2.025668,-0.179591,0,,,,,
0.022091,0.095092,2.025668,-0.179591,0,,,,,
0.025278,0.316149,2.440176,0.073268,0,,,,,
0.066707,0.316149,2.886569,0.073268,0,,,,,
0.120883,0.442467,2.822798,0.326128,0,,,,,
0.111322,0.189831,2.854684,-0.084769,0,,,,,
0.098575,0.063513,2.185094,-0.116376,0,,,,,
0.082641,0.031933,2.153209,-0.242806,0,,,,,
0.104948,0.095092,2.248865,-0.274413,0,,,,,
0.104948,0.063513,1.706816,-0.274413,0,,,,,
0.079454,-0.094385,2.057554,-0.400843,0,,,,,
0.101762,0.22141,2.185094,-0.179591,0,,,,,
0.092201,0.158251,2.312635,-0.084769,0,,,,,
0.168685,0.25299,2.089439,-0.084769,0,,,,,
0.095388,3.884632,2.312635,-0.30602,0,,,,,
0.104948,0.063513,2.185094,0.768631,0,,,,,
