MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder
,,,,
0.025278,1.295113,2.025668,-0.30602,0
0.009344,1.642488,2.376406,0.041661,0
0.082641,1.737226,2.472061,0.041661,0
0.111322,1.610908,2.34452,0.010054,0
0.111322,1.48459,2.312635,0.041661,0
0.089014,1.358272,2.248865,-0.179591,0
0.14319,1.48459,2.121324,2.60186,0
0.066707,1.263534,2.153209,-0.179591,0
0.095388,1.326693,2.34452,-0.147983,0
0.098575,1.389852,2.21698,-0.274413,0
0.124069,1.51617,2.599602,-0.053161,0
0.085828,1.389852,2.472061,-0.147983,0
0.124069,1.358272,2.121324,-0.147983,0
0.095388,1.263534,2.21698,-0.211198,0
0.079454,1.958283,2.312635,-0.274413,0
0.07308,1.295113,2.153209,-0.30602,0
0.079454,1.421431,2.057554,-0.211198,0
0.057146,1.326693,2.121324,-0.211198,0
0.044399,1.389852,2.025668,-0.179591,0
0.022091,1.295113,2.153209,-0.211198,0
0.050773,1.421431,2.057554,-0.211198,0
0.041212,1.48459,2.312635,-0.053161,0
0.025278,1.705647,2.376406,-0.053161,0
0.095388,1.610908,2.34452,0.041661,0
0.108135,1.51617,2.312635,-0.021554,0
0.140003,1.358272,2.057554,-0.053161,0
0.111322,1.421431,2.185094,-0.211198,0
0.117696,1.48459,2.21698,-0.242806,0
0.104948,1.389852,2.535832,-0.179591,0
0.127256,4.895176,2.312635,-0.242806,0
0.095388,1.200375,2.34452,-0.147983,0
0.076267,1.421431,2.248865,-0.274413,0
0.104948,1.326693,2.121324,-0.147983,0
0.130443,1.358272,2.950339,-0.274413,0
0.111322,1.326693,2.34452,-0.147983,0
0.101762,1.358272,2.34452,-0.211198,0
0.060333,1.326693,2.089439,-0.274413,0
0.050773,1.263534,2.121324,1.053098,0
0.053959,1.168795,1.993783,-0.242806,0
0.041212,1.389852,1.993783,0.168091,0
0.028465,1.358272,2.025668,-0.211198,0
0.041212,1.579329,2.21698,-0.053161,0
0.053959,1.768806,2.503946,0.104876,0
0.120883,1.610908,2.408291,0.041661,0
0.104948,1.453011,2.28075,0.041661,0
0.095388,1.421431,2.153209,2.00132,0
0.076267,1.263534,2.121324,-0.116376,0
0.085828,1.295113,2.21698,-0.179591,0
0.095388,1.200375,2.185094,-0.147983,0
0.101762,1.263534,2.376406,-0.274413,0
0.254729,1.958283,2.535832,1.14792,0
0.089014,1.326693,2.408291,-0.242806,0
0.101762,1.295113,2.248865,-0.30602,0
0.098575,1.326693,2.185094,-0.179591,0
0.076267,1.295113,2.185094,-0.274413,0
0.092201,1.326693,2.153209,-0.179591,0
0.108135,0.88458,2.025668,-0.211198,0
0.098575,1.421431,2.121324,-0.242806,0
0.06352,1.421431,2.982224,-0.337628,0
0.044399,1.295113,2.121324,-0.30602,0
0.028465,1.326693,1.41985,-0.211198,0
0.025278,1.610908,2.21698,-0.021554,0
0.053959,1.579329,2.21698,0.010054,0
0.117696,2.021442,2.34452,0.073268,0
0.117696,1.547749,4.60837,0.136483,0
0.120883,1.421431,2.21698,-0.116376,0
0.149564,1.295113,2.089439,-0.211198,0
0.079454,1.326693,1.898128,-0.211198,0
0.092201,1.200375,2.153209,-0.179591,0
0.324838,3.568837,3.651814,1.400779,0
0.312091,2.77935,5.501155,2.443823,0
0.101762,1.421431,2.408291,-0.147983,0
0.14319,1.358272,2.185094,-0.116376,0
0.13363,1.295113,2.248865,-0.211198,0
0.085828,1.200375,3.173536,-0.337628,0
0.095388,1.295113,2.185094,-0.211198,0
0.104948,1.51617,2.28075,2.349001,0
-0.009777,0.821421,1.770587,-0.590487,0
0.111322,1.042477,1.961898,2.917934,0
0.069894,1.389852,1.961898,-0.242806,0
0.270663,3.41094,3.428617,0.926668,0
0.044399,1.642488,2.950339,-0.116376,0
0.060333,1.642488,2.503946,0.262913,0
0.108135,1.642488,2.312635,0.010054,0
0.092201,6.600469,2.057554,-0.053161,0
0.111322,1.453011,2.21698,-0.084769,0
0.108135,1.326693,2.21698,-0.179591,0
0.092201,1.263534,2.28075,-0.179591,0
0.085828,1.231954,2.089439,-0.969776,0
0.076267,0.853,2.153209,-0.30602,0
0.079454,1.295113,2.34452,-0.242806,0
0.104948,1.326693,2.248865,-0.084769,0
0.117696,1.358272,2.089439,-0.053161,0
0.140003,1.389852,2.248865,-0.116376,0
0.104948,1.295113,2.153209,-0.369235,0
0.038025,6.284674,2.21698,0.041661,0
0.066707,1.358272,2.153209,-0.211198,0
0.050773,1.295113,2.21698,-0.55888,0
0.034839,1.358272,2.057554,-0.242806,0
0.076267,1.610908,2.025668,4.687949,0
0.025278,1.295113,1.898128,-0.337628,0
0.034839,1.674067,2.248865,-0.179591,0
0.069894,1.674067,2.503946,0.041661,0
0.095388,1.610908,2.312635,-0.021554,0
0.101762,2.179339,2.21698,-0.053161,0
0.06352,1.326693,2.21698,-0.179591,0
0.095388,1.358272,2.185094,-0.179591,0
0.07308,1.326693,2.408291,-0.084769,0
0.124069,1.421431,2.248865,-0.242806,0
0.130443,1.105636,2.248865,-0.43245,0
0.085828,1.358272,2.121324,-0.242806,0
0.07308,1.326693,1.834357,-0.242806,0
0.127256,1.326693,2.121324,-0.211198,0
0.114509,1.326693,2.21698,-0.242806,0
0.101762,1.389852,2.153209,-0.274413,0
0.076267,1.863544,2.21698,-0.242806,0
0.066707,1.263534,2.121324,1.811675,0
0.092201,1.389852,2.121324,-0.179591,0
0.057146,1.421431,2.121324,-0.274413,0
0.006157,1.295113,2.025668,-0.211198,0
0.114509,0.568785,2.535832,3.613297,0
0.015718,1.610908,2.248865,-0.021554,0
0.028465,1.674067,2.472061,-0.053161,0
0.076267,1.547749,2.34452,-0.021554,0
0.104948,1.737226,2.312635,-0.021554,0
0.060333,7.105741,1.48362,-1.349065,0
0.095388,1.295113,2.121324,-0.147983,0
0.108135,1.453011,2.34452,-0.211198,0
0.092201,1.231954,1.770587,-0.337628,0
0.187806,4.958335,3.396732,-0.179591,0
0.069894,1.263534,2.248865,-0.211198,0
0.082641,1.389852,2.34452,-0.179591,0
0.114509,1.358272,2.185094,-0.147983,0
0.140003,1.358272,2.34452,-0.179591,0
0.092201,1.358272,2.153209,-0.179591,0
0.098575,1.358272,2.121324,-0.242806,0
0.280223,1.137216,2.21698,2.570253,0
