MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,,,
,,,,,,,,,
0.095388,0.22141,2.21698,-0.211198,0,,,,,79.707012
0.095388,0.22141,2.21698,-0.147983,0,,,,,
0.120883,0.095092,2.153209,-0.337628,0,,,,,
0.076267,0.158251,2.312635,-0.211198,0,,,,,
0.101762,0.316149,2.503946,-0.084769,0,,,,,
0.13363,0.22141,2.185094,-0.179591,0,,,,,
0.114509,0.189831,2.408291,-0.211198,0,,,,,
0.066707,0.126672,2.599602,-0.242806,0,,,,,
0.098575,0.316149,4.67214,-0.622094,0,,,,,
0.06352,0.22141,2.153209,-0.211198,0,,,,,
0.089014,0.25299,2.089439,-0.179591,0,,,,,
0.060333,0.25299,2.057554,-0.211198,0,,,,,
0.028465,0.189831,1.993783,-0.242806,0,,,,,
0.053959,0.316149,1.866242,-0.179591,0,,,,,
0.031652,0.474046,2.248865,0.389342,0,,,,,
0.060333,0.537205,2.472061,0.010054,0,,,,,
0.06352,0.442467,2.567717,0.199698,0,,,,,
0.101762,0.442467,2.21698,2.222572,0,,,,,
0.098575,0.316149,2.28075,-0.116376,0,,,,,
0.101762,0.284569,2.185094,-0.179591,0,,,,,
0.127256,0.379308,2.312635,-0.021554,0,,,,,
0.120883,0.284569,1.961898,-0.337628,0,,,,,
0.089014,0.031933,2.312635,-0.369235,0,,,,,
0.076267,0.25299,2.185094,-0.30602,0,,,,,
0.194179,0.568785,2.185094,-0.748524,0,,,,,
0.140003,0.22141,2.153209,-0.147983,0,,,,,
0.111322,0.189831,3.588043,-0.116376,0,,,,,
0.149564,0.789841,4.193862,-0.053161,0,,,,,
-0.019337,0.031933,2.025668,-0.874954,0,,,,,
0.07308,4.453063,2.21698,-0.242806,0,,,,,
0.053959,0.22141,2.121324,-0.43245,0,,,,,
0.07308,0.316149,2.185094,-0.179591,0,,,,,
0.053959,0.25299,1.930013,-0.30602,0,,,,,
0.095388,0.442467,6.489596,-0.43245,0,,,,,
0.038025,0.568785,2.503946,-0.021554,0,,,,,
0.034839,1.263534,2.472061,-0.021554,0,,,,,
0.146377,0.442467,4.799681,0.010054,0,,,,,
0.14319,0.442467,5.022877,-0.147983,0,,,,,
0.095388,2.463555,2.185094,-0.179591,0,,,,,
0.117696,0.25299,2.28075,-0.211198,0,,,,,
0.104948,0.189831,2.822798,-0.242806,0,,,,,
0.104948,0.22141,2.28075,-0.337628,0,,,,,
0.101762,0.158251,2.21698,-0.211198,0,,,,,
0.082641,0.22141,2.057554,-0.30602,0,,,,,
0.082641,-0.189123,2.440176,-0.179591,0,,,,,
0.117696,0.284569,2.21698,-0.147983,0,,,,,
0.092201,7.83207,4.73591,0.041661,0,,,,,
0.069894,0.031933,4.831566,-0.179591,0,,,,,
0.22286,0.095092,2.376406,-0.116376,0,,,,,
0.175058,0.853,2.28075,-1.15942,0,,,,,
0.216487,5.842561,1.324194,-1.507102,0,,,,,
0.060333,0.284569,1.930013,-0.274413,0,,,,,
0.025278,0.22141,2.025668,-0.274413,0,,,,,
0.047586,0.284569,2.057554,-0.274413,0,,,,,
0.015718,0.474046,2.408291,0.010054,0,,,,,
0.082641,0.505626,2.312635,-0.021554,0,,,,,
0.076267,0.410887,2.312635,0.010054,0,,,,,
0.101762,0.347728,2.376406,-0.053161,0,,,,,
0.104948,0.189831,2.21698,0.357735,0,,,,,
