MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,
,,,,,,,
0.089014,1.579329,2.408291,-0.337628,0,,,
0.06352,1.453011,2.089439,-0.527272,0,,,
0.089014,1.51617,2.089439,-0.55888,0,,,99.759994
0.085828,1.610908,6.425826,-0.622094,0,,,
0.047586,1.51617,2.21698,-0.43245,0,,,
0.025278,1.579329,2.185094,1.495601,0,,,
0.025278,1.863544,2.599602,-0.211198,0,,,
0.095388,1.895124,2.854684,-0.147983,0,,,
0.136817,1.958283,2.599602,-0.116376,0,,,
0.098575,1.579329,2.28075,-0.43245,0,,,
0.092201,1.389852,2.185094,-0.495665,0,,,
0.136817,1.51617,2.28075,-0.369235,0,,,
0.155937,-0.41018,2.248865,-0.464057,0,,,
0.06352,1.389852,1.930013,3.139186,0,,,
-0.003403,0.126672,3.109765,4.529912,0,,,
0.092201,1.421431,2.34452,-0.590487,0,,,
0.092201,1.453011,2.153209,-0.464057,0,,,
0.146377,1.453011,2.089439,-0.43245,0,,,
0.165498,1.200375,2.28075,-0.55888,0,,,
0.117696,1.579329,2.248865,-0.369235,0,,,
0.082641,1.737226,2.631487,1.811675,0,,,
0.079454,6.063618,2.153209,-0.55888,0,,,
0.092201,1.579329,2.185094,-0.43245,0,,,
0.050773,1.48459,2.34452,-0.43245,0,,,
0.082641,1.642488,2.121324,-0.43245,0,,,
0.022091,1.610908,2.21698,-0.400843,0,,,
0.025278,2.495134,4.544599,-0.116376,0,,,
0.069894,1.705647,2.440176,-0.242806,0,,,
0.104948,1.705647,2.376406,-0.30602,0,,,
0.114509,1.737226,2.599602,-0.242806,0,,,
0.095388,1.453011,2.21698,-0.495665,0,,,
0.124069,1.389852,2.185094,-0.495665,0,,,
0.117696,1.674067,2.503946,-0.43245,0,,,
0.127256,1.389852,2.089439,-0.400843,0,,,
0.098575,1.831965,2.472061,-0.55888,0,,,
0.085828,1.48459,2.408291,-0.527272,0,,,
0.095388,1.547749,2.34452,-0.30602,0,,,
0.2133,2.14776,2.503946,-0.053161,0,,,
