MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,
,,,,,,,
0.07308,1.358272,2.312635,-0.55888,0,,,
0.069894,1.51617,2.34452,-0.400843,0,,,97.454691
0.079454,1.326693,2.025668,-0.622094,0,,,
0.050773,1.674067,2.440176,-0.874954,0,,,
0.041212,1.389852,1.961898,-0.495665,0,,,
0.018905,1.48459,2.025668,-0.495665,0,,,
0.022091,1.295113,1.993783,0.768631,0,,,
0.025278,1.705647,2.153209,-0.242806,0,,,
0.082641,1.674067,2.440176,-0.274413,0,,,
0.104948,1.51617,2.28075,-0.369235,0,,,
0.117696,1.48459,2.28075,-0.400843,0,,,
0.082641,1.231954,1.898128,-0.685309,0,,,
0.120883,1.074057,2.567717,-0.55888,0,,,
0.089014,1.168795,2.185094,0.073268,0,,,
0.120883,1.421431,2.34452,-0.464057,0,,,
0.108135,1.295113,2.312635,-0.495665,0,,,
0.085828,1.358272,2.248865,-0.527272,0,,,
0.474618,5.684664,2.727143,1.369172,0,,,
0.101762,1.168795,2.025668,4.561519,0,,,
0.085828,1.200375,2.153209,-0.55888,0,,,
0.069894,1.295113,2.28075,-0.369235,0,,,
0.108135,1.768806,2.918454,2.949542,0,,,
0.076267,1.168795,1.961898,-0.685309,0,,,
0.069894,1.642488,2.440176,-0.337628,0,,,
0.053959,1.421431,2.472061,2.222572,0,,,
0.047586,1.358272,1.930013,-0.590487,0,,,
0.076267,1.547749,2.121324,-0.400843,0,,,
0.028465,1.674067,2.790913,-0.30602,0,,,
0.098575,1.863544,2.950339,-0.053161,0,,,
0.111322,1.768806,2.312635,-0.053161,0,,,
0.101762,1.610908,2.312635,-0.369235,0,,,
0.104948,1.231954,2.121324,-0.590487,0,,,
0.089014,1.358272,2.28075,-0.43245,0,,,
0.108135,1.389852,2.34452,-0.590487,0,,,
0.13363,1.358272,2.376406,-0.55888,0,,,
0.104948,1.231954,2.376406,-0.495665,0,,,
0.085828,4.67412,2.663372,-0.43245,0,,,
0.130443,1.705647,2.663372,-0.242806,0,,,
0.120883,1.295113,2.121324,-0.55888,0,,,
0.200553,2.14776,3.556158,0.199698,0,,,
0.079454,1.421431,1.961898,-0.43245,0,,,
0.079454,1.358272,2.34452,-0.464057,0,,,
0.057146,1.326693,2.153209,-0.527272,0,,,
0.066707,1.358272,1.930013,-0.55888,0,,,
0.034839,1.326693,1.898128,-0.590487,0,,,
0.044399,1.358272,1.961898,-0.495665,0,,,
0.044399,1.453011,2.121324,-0.527272,0,,,
0.038025,1.768806,2.34452,-0.30602,0,,,
0.108135,1.737226,2.408291,-0.242806,0,,,
0.13363,2.242498,2.982224,-0.179591,0,,,
0.108135,1.705647,2.503946,-0.179591,0,,,
0.092201,1.200375,2.057554,-0.590487,0,,,
-0.01615,7.642593,0,-1.88639,0,,,
0.082641,1.231954,2.28075,-0.843346,0,,,
