MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,,,
0.082641,0.88458,1.961898,-0.811739,0,,,,,
0.092201,0.853,2.312635,-0.179591,0,,,,,
0.06352,0.663523,2.21698,-0.274413,0,,,,,
0.092201,0.916159,1.674931,-0.274413,0,,,,,
0.092201,1.042477,2.28075,-0.274413,0,,,,,
0.130443,1.042477,2.21698,-0.211198,0,,,,,
0.120883,0.916159,2.185094,-0.242806,0,,,,,
0.114509,3.474099,2.121324,-0.30602,0,,,,,
0.076267,0.979318,2.185094,-0.274413,0,,,,,
0.057146,8.116285,2.185094,-0.147983,0,,,,,
-0.159557,-0.062805,1.451735,4.498304,0,,,,,
0.88253,0.758262,5.054762,-1.380672,0,,,,,
0.06352,1.010898,2.057554,-0.274413,0,,,,,
0.041212,0.979318,2.025668,-0.147983,0,,,,,
0.031652,1.137216,2.312635,-0.084769,0,,,,,
0.050773,1.295113,2.376406,0.136483,0,,,,,
0.066707,3.695155,2.503946,0.073268,0,,,,,
0.098575,1.137216,2.440176,0.041661,0,,,,,
0.101762,1.074057,2.21698,-0.464057,0,,,,,
0.111322,0.347728,2.153209,-0.116376,0,,,,,
0.117696,0.979318,2.153209,-0.211198,0,,,,,
0.120883,1.074057,2.28075,-0.084769,0,,,,,
0.104948,1.042477,2.21698,-0.211198,0,,,,,
0.085828,0.88458,2.185094,-0.274413,0,,,,,
0.076267,1.042477,2.248865,-0.30602,0,,,,,
0.127256,0.474046,2.185094,-0.116376,0,,,,,
0.152751,1.010898,2.248865,-0.179591,0,,,,,
0.280223,2.589873,2.567717,-0.274413,0,,,,,
0.082641,0.789841,2.185094,-0.211198,0,,,,,
0.079454,1.010898,2.21698,-0.242806,0,,,,,
0.066707,0.979318,2.121324,-0.211198,0,,,,,
0.500113,6.53731,1.228538,-1.222635,0,,,,,
0.044399,1.010898,2.153209,-0.179591,0,,,,,
0.066707,1.042477,2.089439,-0.211198,0,,,,,
0.277036,3.821473,2.535832,1.211135,0,,,,,
0.047586,1.295113,2.408291,-0.053161,0,,,,,
0.07308,1.200375,2.312635,0.073268,0,,,,,
0.124069,1.231954,2.472061,-0.053161,0,,,,,
0.117696,1.074057,2.440176,-0.053161,0,,,,,
0.124069,1.042477,2.21698,-0.147983,0,,,,,
0.089014,0.979318,2.153209,-0.30602,0,,,,,
0.108135,1.074057,2.982224,-2.897827,0,,,,,
0.095388,0.947739,2.21698,-0.116376,0,,,,,
0.095388,0.916159,2.089439,-0.464057,0,,,,,
0.092201,0.979318,1.961898,-0.211198,0,,,,,
0.092201,1.737226,2.21698,-0.179591,0,,,,,
0.111322,0.853,2.121324,1.400779,0,,,,,
0.111322,0.916159,2.185094,-0.242806,0,,,,,
0.07308,1.231954,2.248865,-0.179591,0,,,,,
0.095388,0.979318,3.843125,-0.527272,0,,,,,
0.098575,1.010898,2.121324,-0.179591,0,,,,,
0.296157,3.884632,2.248865,0.041661,0,,,,,
0.057146,0.947739,4.831566,-0.211198,0,,,,,
0.022091,1.010898,1.834357,-0.274413,0,,,,,
0.015718,1.200375,2.185094,-0.084769,0,,,,,
0.066707,1.389852,2.472061,-0.021554,0,,,,,
0.079454,1.200375,2.248865,0.041661,0,,,,,
0.108135,1.137216,2.248865,-0.084769,0,,,,,
0.114509,1.137216,2.185094,-0.053161,0,,,,,
0.076267,0.88458,2.535832,-0.211198,0,,,,,
0.095388,0.916159,2.248865,-0.242806,0,,,,,
0.098575,1.51617,2.121324,-0.464057,0,,,,,
0.111322,0.947739,2.21698,-0.116376,0,,,,,
0.098575,1.768806,2.21698,-0.211198,0,,,,,
0.079454,0.979318,2.248865,-0.242806,0,,,,,
0.117696,0.979318,2.21698,-0.116376,0,,,,,
0.104948,0.947739,2.153209,-0.147983,0,,,,,
0.092201,0.979318,2.185094,-0.685309,0,,,,,
0.111322,1.010898,2.21698,-0.211198,0,,,,,
0.085828,1.042477,2.185094,-0.242806,0,,,,,
0.089014,1.042477,2.21698,-0.211198,0,,,,,
0.069894,1.010898,2.057554,-0.147983,0,,,,,
0.034839,0.853,2.025668,-0.30602,0,,,,,
0.022091,1.010898,2.153209,-0.274413,0,,,,,
0.018905,1.168795,2.185094,-0.147983,0,,,,,
0.041212,1.358272,2.440176,0.010054,0,,,,,
0.101762,1.263534,2.982224,0.041661,0,,,,,
0.117696,1.200375,2.312635,0.010054,0,,,,,
0.114509,1.168795,2.28075,-0.053161,0,,,,,
0.095388,0.947739,2.089439,-0.211198,0,,,,,
0.082641,0.88458,2.21698,-0.147983,0,,,,,
0.092201,0.947739,2.28075,-0.242806,0,,,,,
0.111322,1.074057,2.376406,-0.179591,0,,,,,
0.085828,0.979318,2.28075,-0.211198,0,,,,,
0.098575,0.916159,2.408291,-0.30602,0,,,,,
0.127256,0.947739,2.21698,-0.147983,0,,,,,
0.178245,7.453116,2.472061,0.104876,0,,,,,
0.114509,1.010898,2.248865,-0.337628,0,,,,,
0.101762,1.010898,2.153209,-0.179591,0,,,,,
0.057146,1.010898,2.185094,-0.179591,0,,,,,
0.076267,0.979318,2.153209,-0.211198,0,,,,,
0.092201,1.010898,2.185094,-0.179591,0,,,,,
0.06352,1.042477,2.089439,-0.179591,0,,,,,
0.034839,1.074057,1.993783,0.041661,0,,,,,
0.018905,0.916159,2.153209,-0.147983,0,,,,,
0.034839,1.326693,2.472061,0.041661,0,,,,,
0.089014,1.263534,2.312635,0.041661,0,,,,,
0.117696,1.168795,2.248865,0.199698,0,,,,,
0.117696,1.137216,2.440176,-0.053161,0,,,,,
0.092201,0.916159,2.185094,-0.179591,0,,,,,
0.111322,0.979318,2.28075,-0.242806,0,,,,,
0.079454,0.88458,2.21698,-0.464057,0,,,,,
0.095388,1.105636,2.153209,-0.211198,0,,,,,
0.35352,2.589873,3.619928,1.495601,0,,,,,
0.092201,1.042477,2.153209,-0.274413,0,,,,,
0.124069,1.074057,2.440176,-0.147983,0,,,,,
0.130443,0.916159,2.21698,-0.211198,0,,,,,
0.095388,0.947739,2.248865,-0.211198,0,,,,,
0.085828,0.979318,2.121324,-0.179591,0,,,,,
0.098575,4.484643,2.185094,-0.147983,0,,,,,
0.053959,0.979318,2.089439,-0.242806,0,,,,,
0.057146,1.010898,1.993783,-0.30602,0,,,,,
0.047586,0.947739,2.057554,1.432387,0,,,,,
0.009344,0.979318,1.738702,-0.211198,0,,,,,
0.028465,1.074057,2.185094,-0.242806,0,,,,,
0.060333,1.358272,2.408291,0.010054,0,,,,,
0.114509,1.421431,2.440176,0.010054,0,,,,,
0.114509,1.168795,2.312635,-0.021554,0,,,,,
0.104948,1.231954,2.312635,-0.053161,0,,,,,
0.101762,0.916159,1.961898,-0.274413,0,,,,,
0.085828,0.947739,2.21698,-0.179591,0,,,,,
0.085828,0.88458,2.057554,-0.242806,0,,,,,
0.124069,1.48459,2.28075,-0.30602,0,,,,,
0.108135,1.010898,2.28075,-0.242806,0,,,,,
0.089014,0.821421,2.631487,-0.274413,0,,,,,
0.101762,0.947739,2.248865,-0.179591,0,,,,,
0.140003,1.010898,2.21698,-0.179591,0,,,,,
0.095388,1.010898,2.248865,-0.242806,0,,,,,
0.079454,0.916159,2.21698,-0.242806,0,,,,,
0.069894,1.010898,2.121324,-0.179591,0,,,,,
0.111322,1.042477,2.21698,0.041661,0,,,,,
